epoch,loss,iou
265,1.815198,0.703128
266,1.931415,0.683945
267,1.709994,0.670280
268,1.791012,0.699706
269,1.762079,0.645064
270,1.811100,0.704777
271,1.847527,0.648054
272,1.902202,0.700029
273,1.884995,0.676502
274,1.805527,0.713126
275,1.716518,0.697287
276,1.751795,0.707944
277,1.785382,0.710950
278,1.775771,0.705976
279,1.792319,0.725754
280,1.749881,0.728233
281,1.729219,0.725024
282,1.720220,0.719264
283,1.731176,0.724567
284,1.680917,0.721353
285,1.713352,0.720127
286,1.739333,0.735752
287,1.683576,0.719234
288,1.730467,0.724042
289,1.753079,0.726536
290,1.708159,0.705470
291,1.711548,0.705006
292,1.803716,0.712946
293,1.859949,0.683175
294,1.863953,0.696002
295,1.786940,0.668448
296,1.848040,0.683537
297,1.845081,0.649580
298,1.807686,0.654538
299,1.900495,0.702819
300,1.892105,0.663560
301,1.797300,0.664660
302,1.905846,0.710665
303,1.796793,0.722876
304,1.684790,0.706534
305,1.804696,0.688659
306,1.751780,0.715227
307,1.842544,0.629308
308,1.841400,0.701516
309,1.777295,0.716384
310,1.725778,0.681715
311,1.938936,0.697802
312,1.696609,0.694378
313,1.798994,0.722323
314,1.745160,0.716604
315,1.745869,0.704953
316,1.812849,0.712627
317,1.800803,0.714179
318,1.848234,0.712568
319,1.949740,0.730247
320,1.701651,0.707222
321,1.712608,0.709815
322,1.730749,0.712585
323,1.746669,0.713331
324,1.789886,0.678482
325,1.866419,0.683420
326,1.857742,0.674368
327,1.767181,0.682771
328,1.864827,0.704762
329,1.751513,0.705346
330,1.699981,0.717346
331,1.775416,0.691827
332,1.737775,0.701291
333,1.831483,0.728394
334,1.755482,0.705347
335,1.920221,0.720093
336,1.738314,0.652886
337,1.824297,0.657166
338,1.846379,0.699570
339,1.726525,0.723474
340,1.727131,0.730274
341,1.701104,0.717827
342,1.708943,0.718780
343,1.733109,0.694852
344,1.793751,0.689801
345,1.859775,0.730528
346,1.726747,0.698711
347,1.837913,0.716791
348,1.763834,0.715365
349,1.736452,0.724800
350,1.849736,0.695962
351,1.883283,0.690752
352,1.752633,0.701658
353,1.734178,0.702762
354,1.750406,0.723322
355,1.729040,0.712072
356,1.726771,0.729027
357,1.751158,0.719971
358,1.735788,0.710494
359,1.784833,0.723268
360,1.802869,0.682927
361,1.923443,0.697718
362,1.769454,0.715741
363,1.753463,0.725692
364,1.714718,0.708209
365,1.763721,0.713196
366,1.815993,0.691278
367,1.766421,0.668966
368,1.977670,0.697904
369,1.992458,0.696713
370,1.791431,0.720376
371,1.720258,0.721687
372,1.699489,0.716428
373,1.680389,0.705626
374,1.733596,0.719218
375,1.757713,0.684537
376,1.757930,0.714721
377,1.777374,0.712290
378,1.927827,0.668139
379,1.779096,0.694236
380,1.876607,0.705357
381,1.846450,0.710892
382,1.767626,0.706432
383,1.771130,0.708894
384,1.902204,0.678426
385,1.773940,0.694152
386,1.784124,0.718299
387,1.709484,0.728049
388,1.744574,0.721714
389,1.727702,0.720691
390,1.785154,0.713576
391,1.717304,0.714913
392,1.733810,0.716737
393,1.758838,0.693563
394,1.864411,0.718867
395,1.838447,0.719903
396,1.723433,0.697774
397,1.749107,0.714089
398,1.744291,0.672647
399,1.736069,0.696115
400,1.792975,0.687883
401,1.720292,0.698858
402,1.837939,0.713685
403,1.718740,0.701616
404,1.873680,0.663520
405,1.787649,0.682968
406,1.816654,0.655741
407,1.915900,0.728703
408,1.754226,0.671576
409,1.857848,0.699520
410,1.891326,0.716105
411,1.732664,0.710758
412,1.772288,0.719933
413,1.721790,0.714668
414,1.768528,0.714426
415,1.711829,0.690844
416,1.820033,0.712064
417,1.838533,0.706597
418,1.715942,0.699348
419,1.817067,0.694773
420,1.748567,0.714636
421,1.729535,0.721008
422,1.758179,0.717558
423,1.773895,0.700472
424,1.751880,0.682708
425,1.793979,0.695821
426,1.756059,0.723016
427,1.718150,0.688466
428,1.848431,0.700347
429,1.820257,0.732907
430,1.682707,0.723788
431,1.743643,0.731382
432,1.693668,0.719822
433,1.768501,0.689697
434,1.839841,0.675368
435,1.841743,0.677139
436,1.935596,0.696650
437,1.764216,0.694289
438,1.789072,0.716053
439,1.767616,0.724444
440,1.725500,0.726953
441,1.680101,0.718775
442,1.745429,0.711410
443,1.734483,0.705137
444,1.808910,0.701155
445,1.793080,0.703734
446,1.800193,0.696938
447,1.867643,0.664734
448,1.893809,0.719023
449,1.782561,0.710900
450,1.800758,0.717351
451,1.808351,0.719926
452,1.744559,0.679286
453,1.869786,0.704574
454,1.794440,0.705470
455,1.757908,0.697393
456,1.764008,0.712173
457,1.800417,0.728671
458,1.694308,0.700575
459,1.679594,0.698945
460,1.763534,0.705800
461,1.710619,0.663643
462,1.904468,0.717713
463,1.752189,0.702314
464,1.773945,0.710174
465,1.791915,0.705942
466,1.765462,0.715982
467,1.797930,0.720554
468,1.713754,0.720660
469,1.706373,0.710023
470,1.804621,0.717702
471,1.697325,0.714543
472,1.755693,0.717601
473,1.744565,0.716456
474,1.738045,0.652633
475,1.874975,0.670497
476,1.904120,0.717453
477,1.836401,0.710239
478,1.787974,0.707421
479,1.768355,0.700536
480,1.736114,0.717424
481,1.772256,0.697693
482,1.865166,0.707842
483,1.808137,0.708250
484,1.843659,0.723905
485,1.759498,0.702849
486,1.722101,0.705042
487,1.820006,0.710773
488,1.854361,0.724940
489,1.776531,0.688582
490,1.778592,0.708303
491,1.848028,0.721549
492,1.753965,0.709601
493,1.750959,0.695683
494,1.703770,0.689390
495,1.813621,0.703879
496,1.792958,0.698627
497,1.844154,0.715431
498,1.786176,0.722300
499,1.780091,0.708918
500,1.783383,0.728262
501,1.713823,0.712054
502,1.737373,0.720098
503,1.708900,0.693362
504,1.728930,0.712347
505,1.769820,0.697221
506,1.850155,0.686335
507,1.863971,0.700073
508,1.816434,0.706741
509,1.900364,0.668161
510,1.772835,0.702304
511,1.848614,0.707494
512,1.783355,0.698945
513,1.801741,0.665123
514,1.768487,0.694976
515,1.795355,0.665082
516,1.681604,0.700691
517,1.816409,0.718357
518,1.705777,0.711771
519,1.720943,0.716748
520,1.749682,0.713250
521,1.792691,0.703222
522,1.836638,0.707430
523,1.838351,0.711527
524,1.770529,0.726821
525,1.712400,0.717946
526,1.726160,0.722901
527,1.680464,0.714611
528,1.716949,0.710994
529,1.759678,0.709565
530,1.753105,0.707926
531,1.707458,0.703057
532,1.763122,0.714342
533,1.714665,0.725028
534,1.725588,0.718927
535,1.712695,0.711398
536,1.775966,0.691678
537,1.905065,0.700625
538,1.789890,0.711357
539,1.715394,0.721898
540,1.737946,0.722484
541,1.798608,0.645373
542,1.931518,0.688318
543,1.852251,0.688163
544,1.786114,0.654122
545,1.823711,0.690769
546,1.705817,0.683264
547,1.799068,0.722476
548,1.714383,0.698907
549,1.778085,0.708681
550,1.808348,0.703984
551,1.753979,0.719586
552,1.781984,0.716127
553,1.721349,0.725637
554,1.724923,0.733506
555,1.692624,0.719119
556,1.737608,0.728378
557,1.721313,0.725396
558,1.738857,0.695157
559,1.729682,0.664440
560,1.839338,0.703044
561,1.801590,0.727992
562,1.783346,0.708983
563,1.787058,0.669526
564,1.835363,0.702865
565,1.816222,0.703673
566,1.807807,0.705691
567,1.858557,0.695828
568,1.754669,0.711225
569,1.756517,0.705151
570,1.755708,0.696555
571,1.862561,0.713032
572,1.722549,0.708422
573,1.698312,0.663025
574,1.853212,0.690828
575,1.776117,0.697100
576,1.835535,0.728227
577,1.729655,0.706424
578,1.710473,0.696169
579,1.776639,0.692617
580,1.835942,0.707569
581,1.753537,0.695986
582,1.785040,0.724584
583,1.740894,0.724998
584,1.729446,0.722374
585,1.722496,0.721704
586,1.683607,0.729996
587,1.704149,0.724311
588,1.710425,0.724793
589,1.749067,0.727306
590,1.689224,0.701396
591,1.769281,0.680588
592,1.897925,0.681472
593,1.718788,0.672136
594,1.963887,0.696240
595,1.850487,0.694806
596,1.847071,0.690097
597,1.828109,0.699336
598,1.861232,0.713639
599,1.713921,0.720011
600,1.750454,0.726074
601,1.749114,0.716191
602,1.785377,0.715174
603,1.751893,0.724687
604,1.754459,0.716828
605,1.759567,0.706880
606,1.808064,0.725536
607,1.688496,0.697861
608,1.813814,0.716502
609,1.759216,0.720924
610,1.710816,0.715297
611,1.718288,0.714479
612,1.670456,0.715334
613,1.748380,0.729351
614,1.679924,0.721102
615,1.727038,0.688832
616,1.895900,0.702967
617,1.803437,0.686598
618,1.759767,0.724398
619,1.750868,0.716354
620,1.745695,0.681359
621,1.814204,0.699821
622,1.756915,0.697818
623,1.801344,0.721485
624,1.853548,0.724567
625,1.751845,0.728968
626,1.779034,0.702286
627,1.847765,0.697671
628,1.762992,0.682065
629,1.910723,0.690793
630,1.851326,0.731234
631,1.700038,0.726479
632,1.704413,0.728247
633,1.698857,0.725281
634,1.695547,0.714633
635,1.753471,0.728338
636,1.685226,0.710488
637,1.741723,0.698343
638,1.859215,0.686951
639,1.716061,0.682618
640,1.823760,0.653471
641,1.973689,0.704138
642,1.899056,0.739955
643,1.663148,0.723583
644,1.710101,0.729050
645,1.715195,0.722843
646,1.685293,0.713028
647,1.796001,0.724606
648,1.748889,0.715162
649,1.718486,0.666010
650,1.816533,0.664169
651,1.796634,0.690578
652,1.796467,0.687795
653,1.870614,0.697951
654,1.786266,0.721514
655,1.863776,0.719274
656,1.712355,0.715715
657,1.790346,0.721051
658,1.743573,0.701133
659,1.743846,0.710393
660,1.796371,0.728654
661,1.707473,0.715091
662,1.762799,0.724354
663,1.695093,0.710382
664,1.787568,0.702118
665,1.725527,0.724598
666,1.715842,0.709443
667,1.750196,0.716227
668,1.697712,0.718750
669,1.800650,0.719045
670,1.831506,0.688707
671,1.873528,0.673493
672,1.701259,0.678475
673,1.847243,0.720628
674,1.710467,0.699976
675,1.797514,0.689965
676,1.807264,0.717697
677,1.729333,0.726163
678,1.712640,0.719486
679,1.696743,0.710891
680,1.779654,0.713393
681,1.851954,0.691933
682,1.908787,0.706645
683,1.771838,0.704217
684,1.768341,0.706241
685,1.765309,0.693819
686,1.769106,0.681313
687,1.802343,0.730119
688,1.724454,0.717172
689,1.711885,0.722230
690,1.770325,0.710366
691,1.763988,0.681983
692,1.814642,0.693803
693,1.735476,0.667363
694,1.894354,0.717521
695,1.730739,0.715877
696,1.755552,0.721652
697,1.680647,0.713288
698,1.753154,0.734189
699,1.680915,0.719625
700,1.755244,0.716478
701,1.691248,0.713772
702,1.720749,0.700183
703,1.826236,0.666687
704,1.933222,0.711999
705,1.735555,0.692508
706,1.754451,0.667561
707,1.774319,0.684721
708,1.820884,0.723366
709,1.717939,0.714485
710,1.768795,0.715414
711,1.745307,0.707473
712,1.743363,0.688150
713,1.823391,0.690258
714,1.826141,0.670507
715,1.906453,0.710518
716,1.718615,0.726717
717,1.749603,0.703588
718,1.846641,0.725247
719,1.813178,0.728615
720,1.720022,0.719622
721,1.795384,0.727110
722,1.705008,0.674106
723,1.778314,0.691831
724,1.805962,0.714945
725,1.714403,0.713826
726,1.690059,0.713945
727,1.777616,0.724233
728,1.734950,0.711214
729,1.813514,0.714481
730,1.796272,0.665530
731,1.844709,0.630148
732,1.870616,0.716201
733,1.716000,0.720463
734,1.694687,0.719203
735,1.758784,0.713532
736,1.729270,0.665608
737,1.908088,0.722243
738,1.780481,0.664320
739,1.757843,0.682974
740,1.854152,0.711541
741,1.714807,0.708110
742,1.814645,0.708680
743,1.665190,0.690163
744,1.851230,0.687292
745,1.756124,0.687613
746,1.921337,0.723792
747,1.730168,0.706443
748,1.808123,0.717755
749,1.755920,0.720596
750,1.706129,0.720070
751,1.756331,0.704854
752,1.709434,0.703284
753,1.730158,0.695792
754,1.742466,0.716660
755,1.730776,0.713100
756,1.816824,0.696771
757,1.775077,0.690061
758,1.777553,0.660660
759,1.787118,0.634032
760,1.922506,0.716377
761,1.735331,0.714052
762,1.782517,0.728545
763,1.716362,0.703182
764,1.819056,0.719854
765,1.727208,0.711340
766,1.847440,0.723085
767,1.762521,0.721146
768,1.755319,0.734793
769,1.681406,0.720550
770,1.707483,0.724810
771,1.706046,0.725513
772,1.685348,0.725850
773,1.694955,0.720336
774,1.734666,0.722231
775,1.705398,0.722401
776,1.727637,0.725529
777,1.723843,0.724801
778,1.703499,0.703655
779,1.773819,0.692468
780,1.864957,0.662157
781,2.069729,0.721348
782,1.822514,0.727246
783,1.729444,0.701082
784,1.767653,0.695656
785,1.865952,0.697335
786,1.821585,0.667045
787,1.853973,0.714813
788,1.731671,0.716169
789,1.760791,0.714897
790,1.790078,0.715810
791,1.851825,0.734504
792,1.677779,0.720852
793,1.714110,0.714404
794,1.781038,0.719163
795,1.723664,0.702507
796,1.730020,0.716773
797,1.809592,0.707889
798,1.807651,0.720518
799,1.739860,0.716185
800,1.814172,0.689574
801,1.745391,0.674702
802,1.819542,0.689419
803,1.858753,0.666902
804,1.967194,0.717074
805,1.842482,0.732826
806,1.703295,0.710410
807,1.755905,0.690146
808,1.720806,0.731234
809,1.756090,0.726151
810,1.707875,0.732669
811,1.683555,0.729616
812,1.685614,0.731147
813,1.688133,0.728675
814,1.696122,0.729090
815,1.697434,0.721718
816,1.720060,0.715367
817,1.753166,0.715499
818,1.700246,0.666732
819,1.732539,0.662087
820,2.016888,0.668729
821,1.736813,0.628133
822,1.865770,0.729761
823,1.765585,0.701548
824,1.774084,0.637912
825,1.764550,0.720624
826,1.684070,0.717415
827,1.741885,0.726450
828,1.698095,0.727024
829,1.729446,0.702690
830,1.798312,0.708820
831,1.706120,0.686530
832,1.825663,0.717437
833,1.864319,0.694724
834,1.761114,0.680856
835,1.841773,0.702927
836,1.706249,0.685201
837,1.737417,0.685360
838,1.814081,0.691414
839,1.873571,0.693135
840,1.798283,0.716041
841,1.780565,0.684305
842,1.701025,0.706610
843,1.823427,0.709149
844,1.729118,0.723063
845,1.689232,0.719022
846,1.695241,0.722271
847,1.728349,0.725887
848,1.759057,0.721402
849,1.712567,0.700609
850,1.769212,0.684103
851,1.729933,0.673232
852,1.777051,0.701289
853,1.834792,0.709530
854,1.766603,0.700555
855,1.889766,0.688819
856,1.833043,0.702470
857,1.809647,0.700119
858,1.731864,0.708578
859,1.728411,0.719083
860,1.720616,0.716800
861,1.714191,0.709433
862,1.739919,0.709452
863,1.711776,0.701741
864,1.905408,0.697160
865,1.801445,0.724766
866,1.720772,0.720689
867,1.718813,0.721270
868,1.742276,0.729700
869,1.652871,0.719517
870,1.738808,0.728381
871,1.665943,0.714972
872,1.763211,0.736002
873,1.716059,0.727711
874,1.669877,0.716218
875,1.732040,0.723129
876,1.705501,0.695087
877,1.864309,0.720875
878,1.816769,0.708278
879,1.871796,0.692554
880,1.820226,0.708702
881,1.791388,0.690747
882,1.716761,0.701258
883,1.782340,0.705365
884,1.703669,0.721644
885,1.753330,0.702963
886,1.853590,0.716357
887,1.827365,0.694651
888,1.771942,0.689103
889,1.824292,0.730461
890,1.647507,0.711350
891,1.767222,0.712706
892,1.739801,0.700017
893,1.838579,0.674603
894,1.773947,0.673666
895,1.894953,0.718881
896,1.768469,0.737648
897,1.743590,0.732416
898,1.676767,0.716098
899,1.693702,0.709238
900,1.741833,0.724772
901,1.734007,0.724599
902,1.785089,0.684478
903,1.850107,0.696031
904,1.796180,0.711619
905,1.786380,0.707224
906,1.774071,0.732669
907,1.695309,0.719330
908,1.721041,0.726676
909,1.699684,0.716513
910,1.750083,0.708538
911,1.891982,0.716467
912,1.805111,0.716350
913,1.786144,0.728656
914,1.751779,0.709373
915,1.819344,0.724087
916,1.790860,0.667629
917,1.705481,0.695400
918,1.828697,0.720149
919,1.795259,0.712198
920,1.729210,0.717660
921,1.740712,0.713588
922,1.741786,0.694604
923,1.772964,0.707143
924,1.737968,0.710751
925,1.758054,0.666549
926,1.759580,0.680011
927,1.843897,0.689519
928,1.737980,0.614155
929,1.837968,0.742086
930,1.706394,0.718346
931,1.713039,0.705063
932,1.765050,0.731459
933,1.678745,0.713942
934,1.757126,0.701248
935,1.817479,0.708171
936,1.770854,0.712905
937,1.769530,0.728924
938,1.697601,0.725740
939,1.688912,0.717224
940,1.712655,0.723270
941,1.684863,0.713036
942,1.718788,0.717892
943,1.696341,0.714982
944,1.779200,0.716554
945,1.818885,0.693474
946,1.788326,0.706514
947,1.850874,0.723949
948,1.741057,0.712592
949,1.796493,0.698550
950,1.792614,0.676986
951,1.849301,0.712407
952,1.718987,0.692838
953,1.765809,0.716864
954,1.745757,0.713301
955,1.756770,0.724736
956,1.680763,0.699517
957,1.744125,0.718324
958,1.721796,0.712734
959,1.746033,0.718849
960,1.707152,0.728410
961,1.724614,0.707542
962,1.750669,0.664751
963,1.830892,0.712268
964,1.808696,0.676386
965,1.815474,0.685740
966,1.779576,0.679058
967,1.842888,0.712128
